Book,Blurb,Author
"Alive: The Story of the Andes Survivors
 
(ජීවතුන් අතර)","ඔවුනගේ ගුවන් යානය කඩා වැටුණේ අහස උසට නැඟි කඳුවලින් වටව ගිය දැවැන්ත ඇන්ඩීස් කඳුයාය මැදදීය. බීරුම් දෙන සුළඟ හිම කැරළිද සමඟ හමා යන්නේ ගත සීතලෙන් හිරි වට්ටමිනි. ඔවුනට සෙවණකට ඇත්තේ තැලී පොඩි වී ගිය යානයේ බඳ කොටස පමණකි. වයින් බෝතල තුනක් හා චොකලට් පෙති කීපයක් හැරුණවිට ආහාරයකට වෙන යමක් නොමැත. මුලින්ම දිවි ගලවා ගත්තවුන් තිස් දෙනෙක් සිටියහ ඊළඟට විසිහත, දහ නවය හා අන්තිමේදී දහසය දෙනෙකි. මේ දිග හැරෙන්නේ දින හැත්තෑවක් පුරා හිම කතරේ අතරමංව ගෙවූ ඔවුනගේ අනුවේදනීය කතාවයි. මනුෂ්‍යයා සතු ඉවසීම ධෛර්යය හා අධිෂ්ඨානයේ කතාවයි.",Piers Paul Read / 	ඉන්ද්‍රාණි කරුණාරත්න
ගෙත්සෙමෙහි  සන්ද්යාව,"ජේසුතුමන් මිහි මත ජීවත් වූ කාලයේ පේරුසලම හා ඒ අවට දේශපාලනය පසුබිම, පරිසරය, ඉතිහාසය හා ජන ජීවිතයද පැහැදිලි කෙරෙන බයිබලයේ ශුද්ධ ලියවිලි ඇසුරෙන් ලියැවුණ ගවේෂණාත්මක නවකතාවකි. මේ නවකතාවේ නාමයෙහි දැක්වෙන ගෙත්සෙමෙනිය වදනෙහි අරුත ""ඔලිව් තෙල් සිඳින සෙක්කුව සහිත පරිසරය"" යන්නයි.",බද්‍රජි මහින්ද ජයතිලක
මිනිස් වටය,නූතන සන්දර්භය තුළ සිංහල කෙටිකතාවට අත්කර ගත හැකි රූපය කුමක්දැයි හැඟවෙන කෙටිකතා මාලාවකි. සමකාලීන තතු සමඟ ඒකාබද්ධ වී උත්ප්‍රාසාත්මක ලෙස ගොඩනැඟෙන නැවුම් කලාත්මක ලක්ෂයන් සමාජය පිළිබඳ නව සිතුවිලි මාලාවක් පාඨකයා තුළ අවදි කරයි. වර්තමාන මිනිසුන්ගේ පැවතුම් ඔවුන්ගේ පරිසරය සහ යුගල ප්‍රතිපක්ෂයන් තුළ තබා විචිත්‍ර වියමන් බවට පත්කර ඇත. සමාජ දේහයේ දේවා භරණ යටින් රුධිර නාලිකා සහ අතුනුබහන් දිස් වෙයි.,එරික් ඉලයප්ආරච්චි
සිව්හෙළයේ සිව්මණ්සල,"ක්‍රි.පූ. 161-137 ත් අතර රාජ්‍ය පාලනය කළ දුටුගැමුණු මහ රජතුමාගේ ඓතිහාසික තොරතුරු පාදක කොටගෙන නිමැවූ පර්යේෂණාත්මක ඓතිහාසික නවකතාවකි. මෙය කුතුහලයෙන් පිරිපුන්ය. එදා යුගය පණ පිහිටුවා නිමැවූවකි. ඉතිහාසය විෂයය හදාරන ඕනෑම මට්ටමක දරුවකු කියැවිය යුතු යැයි සිතෙන්නකි. ගැඹුරුම බස් වහරකින් තොරවැ සිත් ගන්නා ලෙස, ඓතිහාසික බවට ද හානි නොකරමින් නිමවා ඇත. කොටස් දෙකකින් සමන්විත මෙය ඓතිහාසික නවකතාවක් වශයෙන් බෙහෙවින් සාර්ථක නිර්මාණයකි.",සජිත් රෝහිත ලියනගේ
සිලෝනාගමනය,"මෙය 1800 - 1827 අතර දකුණු ඉන්දියාවේ හා ලංකාවේ දේශපාලනය හා ජන ජීවිතය පිළිබඳ නිරීක්ෂණයකි. වෙල්ලෝර් බලකොටුවේ කැන්ඩි මහල් හී ශ්‍රී වික්‍රම රාජසිංහ ගත කළ ජීවිතය ද මෙහි මනාව චිත්‍රනය වේ. සිලෝන් දූපතේ රැඳීම හැර වෙනත් විකල්පයක් නොතිබූ පෘතුගීසි හා ලන්දේසි මිනිසුන් ට ද මෙහි වැදගත් භූමිකාවක් හිමි වී ඇත. බ්‍රිතාන්‍ය යුගය ආරම්භයේ කල්කටාවේ, මධුරාසියේ, බැංගලෝරයේ, කොළඹ, ගාල්ල හා මහනුවර විසුවන් ද මේ ප්‍රබන්ධ වියමනේ කොටස්කරුවන් ය. මෙය යුරෝපීයන් ද, ඉන්දියානුවන් ද සිලෝන් දූපතට ආකර්ශනය වීම පිළිබඳ අධ්‍යයනයකින් සිංහලයන් කවුරුන් දැයි සිතීමට නව දොරටුවක් විවර කිරීමකි.",සුනේත්‍රා රාජකරුණානායක
හරස් පාර,සමාජ පංතීන්ගේ ගම්බද පැවැත්ම හා එහි චලනයන් තුලින් සිදුවන පුද්ගල විපර්යාසයන්  එක් පැත්තකින් ද අනෙක් පසින් නව යටත් විජිත සන්කල්ප තම පංනියේ පැවැත්ම  සදහා න්‍යායාත්මකව භාවිත කරන ඉහළ  සමාජ  පත්තීන්ගේ සට කපටකම් වලට උපක්‍රමශිලීව මුහුණ දෙමින් තම පන්තියේ අයිතීන් දිනා ගැනීමට උත්සහ දරන ගැමි පන්නියක කතාන්දරයයි මේ.,බටුවන්ගල රාහුල හිමි
යක්ශ ගෝත්‍රිකයෝ,"අපේ රටේ ඉතිහාසය අවුරුදු 2500 පැරණියි කියන්න අප පුරුදු වෙලා ඉන්නවා. නමුත් එය වැරදිය. කෙසේ නමුත් වසර 125000 කට වඩා පැරණි ඉතිහාසයක් අපට ඇත.ඒ බව පුරාවිද්‍යාඥයින් සහ මානව විද්‍යාඥයින් කරුණු සොයාගෙන සාක්ෂි ඉදිරිපත් කරලා තියෙනවා. මීට අවුරුදු 125000 පමණ එපිට කාලයකදී දකුණේ වෙරළ තිරය වූ හම්බන්තොට දිස්ත්‍රිකයේ බූන්දල, පතිරාජවෙල, මිනිහාගල් කන්ද වාගේ ප්‍රදේශවලට ආදී හොමෝසාපියන්වරු ගොඩබැස ඇති අතර එතැන් පටන් මෙරටේ මිනිසුන් වාසය කරන්නත් පටන් ගෙන ඇත. මිට අවුරුදු 7000කට පමණ කාලයකදී අපි ඉන්දියානු භූමිකඩෙන් වෙන්වෙලා දූපතක් වූ අතර අපේ අනන්‍යතාවය තව දුරටත් තහවුරු වුණා. ඉන් පසු සාගරයෙන් වට වූ මේ භූමිකඩේ තනිවූ හා තනිවෙච්ච අපි, අපිටම අවේනික සම්ප්‍රධායන්, දැනුම් පද්ධති ගොඩනගා ගත්තා. ඒ නිසා අපේ දේශියත්වය අපට ආවේණික ලෙස ගොඩ නැගුනා.",මිරැන්ඩෝ ඔබේසේකර
මිහි කතර කතර ගිනි ගනී.,"සුපිරි යයි ප්‍රචලිත විද්‍යා තාක්ෂණය අභ්‍යවකාශතරණයට යොදා ගත් මිනිසුන් හා ඔවුන් ගේ බන්ධුන් වශයෙන් සැලැකෙන හෝ නො සැලැකෙන පිටිසක්වල විශ්ව ජීවීන් අතර උද්ගතවන ගැටුම් හුවා දක්වා අද්භූත ජනනය උදේසා රචිත හිතලූ කතා විද්‍යා ප්‍රබන්ධ සාහිත්‍යයේ මූලිකංගයක්ව පවතනා මේ සමයේ විද්‍යාත්මක ප්‍රබන්ධකරණය හුදු අභව්‍යත්වයෙන් මුදවා, යථාර්ථාවබෝධයට මග පෑදීම කාලීන හා කාලෝචිත අනිවාර්යත්වයකි. රචකයා ගේ ප්‍රයත්තය විය යුත්තේ මිහි මඩලෙන් පරිබාහිරත්වයට අමතරව මිහි තලයේ ප්‍රචලිත ස්වාභාවිකත්වයේ චමත් කාරය හා සොබා දහමට එරෙහිවීමේ අවධාරණයෙන් රසික සත්තානයේ සංවේදිතාවය වින්නැහි - ද උද්දිපනය කිරීමයි. සත්‍යාර්ථය හැම විටකම මිථ්‍යාර්ථයට වඩා අසිරිමත් බැවිනි. ",පේමදාස අලවත්තාගොඩ
නාග රාක්‍ෂ,පාසල් වියේ සිට ඇරඹෙන කුළුඳුල් ප්‍රේමයකට ප්‍රමුඛතාව දෙමින් තම සදාදරණීය දෙමාපියන්ගේ බලවත් ව්රෝධය තුට්ටුවකටවත් මායිම් නොකොට හිතුවක්කාර විවාහයකට එළඹෙන කන්ද උඩරට සුරූපී යුවතියක වන පූජනී තම සැමියාගේ දුෂ්ට හා මුග්ධ චර්යා රටාවෙන් කුටුම්භය පමණක් නොව සියලු අනුභූතියෙන් පැතූ සිරියහනද බුර බුරා නැගෙන අපේක්‍ෂා භංගත්වයේ රුදුරු ගිනිදැල්වලින් දැවි දැවී ගිනියම් වෙන තියුණු කටුයහනක් කරගනී. තමා ඝාතනය කිරීමේ දුෂ්ට හා පාපතර චේතනාවෙන් සන්නද්ධව සිටි ඔහුගේ අකල් වියෝවෙන් විධවාවක වී කඳුළු බොමින් සිටි පූජනී නවමු සරණ බන්ධණයක විසිතුරු අපේක්‍ෂාවන් තුරුළු කොට ගෙන අහිංසක මොනර කිරිල්ලියක සේ තම ආත්මගත සහෘදයාණන්ගේ තුරුලට තටු සලා ඉගිලෙන ආකාරය සුන්දර සිනමා සිත්තමක් ලෙස ඔබේම කඳුළු බිඳුවලින් ගෙත්තම් කර කඳුලින් බොඳවූ දෑසින් කියවීමට 'නාග රාක්‍ෂ' ඔබ දෝතට පිරිනමයි.,තිලක කුඩාහෙට්ටි
මහ දඹරන් බුදු පිළිමය(The solid Gold Buddha),"තාක්ෂණ ඥානයෙන් හෙබි බර්නාඩ් මිලර්ට සිය ජීවිතයේ ඇළුම් කළ සියලු දේ අහිමි වෙයි. බිරිඳ ගුවන් යානා අනතුරකින් මිය ගිය අතර, ආදරණීය පුතු මාරාන්තික රෝගයකට ගොදුරු වෙයි. ඒ අතර ඔහුගේ රැකියාව අහිමි වෙයි. අවසානයේ පුතු රැක ගැනීම අපේක්ෂාව කොට ගන්නා ඔහු පුතුගේ රෝගයට ප්‍රතිකාර සඳහා පවුම් මිලියන පහක අවශ්‍යතාව පිරිමසා ගත හැකි ක්‍රමයක් සොයා යයි. ඒ අතර තායිලන්තයේ මහ දඹරන් බුදු පිළිමයක ඉව වැටෙන ඔහු තම තාක්ෂණික දැනුම උපයෝගි කොට ගෙන පිටතින් පිළිමයට හානියක් නොවන පරිදි අවශ්‍ය දඹරන් ප්‍රමාණය ලබා ගැනීම සඳහාසැලසුම් කරයි. ඒ සඳහා අවශ්‍ය පිරිස් හා සම්පත් සූක්ෂමව උපයෝගී කොට ගනිමින් ඉතා සැලසුම් සහගත ලෙස, පොලිසියේ ඇසටද වැලි ගසමින් තම අරමුණ ඉටු කොට ගත් ආකාරය මෙහි තේමාව වෙයි. මනුෂ්‍යත්වයේ අසරණ බව, ඒ හමුවේ මිනිසුන් කළයුතු, නොකළ යුතු ඕනෑම දෙයකට පෙළඹෙන අයුරු කලාත්මකව කියා පෑමට ගත් උත්සාහයක් මින් පිළිබිඹු වෙයි.",W. H. Canaway
දෝනා නැස්සිහාමිනා,"මෙම නවකතාවෙන් ඉදිරිපත් කිරීමට උත්සාහ ගෙන ඇත්තේ, බ්‍රිතාන්‍ය යටත් විජිත යුගය තුළ සමාජ පරිණාමයෙහි ලා බුදු දහම බලපෑම තුළින් නිර්මාණය වීමට උත්සාහ ගැනුණු අපූරු ශිෂ්ටාචාරයක් හෙළිදරව් කිරීමට ය.ලංකා ඉතිහාසයේ බ්‍රිතාන්‍ය යුගයේ උඩරට පැවති බටහිර (ඉංග්‍රීසි) සදාචාරයට වඩා අර බුදු දහමේ  බලපෑමත් සමඟ, පහතරට පැවති බටහිර ශිෂ්ටාචාරය කෙරෙහි ඇති කළ බලපෑම අපූරු දසුනක් වූ බවයි.",බන්දුපාල ගුරුගේ
රකුසා පිළිසිඳ,මේ නවකතාවට පාදක වී ඇත්තේ 77න් පසු එළැඹි 88-89 භීෂණ සමයෙන් අවසන් වූ කාල පරිච්ඡේදය යි. මේ කාලය තුළ 56න් පසු බිහි වූ උගතුන් ගේ පරපුරෙහි ඇතැමුන් ඉණිමගේ ඉහළට යනු වස් සිය හෘදය සාක්ෂ්‍ය කැප කළ නිවටයන් බවට පත් වූ සැටිත් තවත් ඇතැමුන් බල ලෝභයෙන් මඬිනා ලද අවස්ථාවාදි අධමයන් බවට පත් වූ සැටිත් මෙහි ඇති කතානායක විශ්වවිද්‍යාල ආචාර්යවරයා මඟින් මෙන් ම උපකුලපතිවරයා මඟින් ද කතුවරයා පෙන්වා දී ඇත. අමානුෂික භීෂණය විසින් උපකුලපතිවරයා බිල්ලට ගන්නා ලද අතර එය කතානායකයා යළි යථාභූත ඥානයෙන් කටයුතු කිරීමට යොමු කර ඇති බව පෙනේ. ඒ අමානුෂික භීෂණයෙන් තරුණ පරපුර බේරාගැනීමට කටයුතු කරන්නේ මුල සිට ම පරාර්ථයෙන් මෙහෙයවන ලද විප්ලවවාදියකු වූ බෝධිසත්ව ගුණෝපේත සේන නමැති චරිතය යි. අවසානයේ දී ඔහු ඒ සඳහා සිය ජීවිතය ද කැප කරයි.,Ashoka Amarathunga
අරවින්දය,"වෛද්‍යවරයා යනු රෝගයේ අයිතිකරුවා හෝ ආරක්ෂකයා නොව රෝගියාගේ ආරක්ෂකයා හා අයිතිකරුවායි. රෝගියා වෛද්‍යවරයාගේ සදාකාලික සිරකරුවා ද නොවෙයි. නිරෝගී බව පතා තමා වෙත එන රෝගියාට වෛද්‍යවරයා මවක විය යුතුයි. උමතු පාලකයින් සිතනවා සුරාව, සූදුව, වෛශ්‍යාව රාජ්‍යයකට ආභරණයක් කියා පරාභවයට හේතුවන මෙවන් අර්ථ ගැන්වීම් තුළින් රටවැසියන් මුළා කොට, මහලුව මැරී වැටෙන තුරු ම සිංහාසනාරූඪ ව පංචකාම සැප විඳින්නටත්, සතර වර්ගයේ පරම්පරාවන් පෝෂණය කරන්නටත් ඔවුන් ගන්නා උත්සාහය සදාචාර සම්පන්න ලෙස දකින්නට මෝඩ රටවැසියාත් පෙලඹෙනවා. කවරාකාරයෙන් හෝ සුඛෝපභෝගී ජීවිත ගත කිරීම පාලකයාගේ ශුද්ධ අයිතියයි. ඔවුන්ට මුළාවීම රටවැසියාගේ පරම යුතුකමයි.",සෝමා ජයකොඩි
අහම්බකාරක,"අහම්බකාරක මඟින් ජීවිතයේ අහම්බමය ස්වභාවය ගවේෂණය කරන්නේ අහම්බය ඉරණම සේ ගත් පරම්පරාවක් සහ රටක් සංස්කෘතික ගවේෂණයක් ද සමගය. කුමකින් කුමක්වේදැයි නිශ්චිතව කියන්නට ඉඩ නොදෙන කතාකීමේ ශිල්ප ක්‍රමයකින් යුතු මේ කෘතිය ඉතා නාට්‍යමය නවකතාවකි. එක්තරා යුගයක ආධ්‍යාත්මය ගැන ගවේෂණයකි. චර්ම වර්ණ, දේශසීමා ආදිය ඉක්ම වූ ආදරයක සහ මිත්‍රත්වයක කතාවකි. ",ලියනගේ අමරකීර්ති
අදිසි නදිය,"මායාරූපී ප්‍රබන්ධය, අධිතාත්වික පරිකල්පනය, වීරාඛ්‍යානය, දේශපාලන සහ විද්‍යා ප්‍රබන්ධ යනාදී සාහිත්‍ය ශානර ඔස්සේ ගලා බස්නා මෙය කුතුහලාත්මක බවින් පිරි සුපාඨනීය කියැවීමක් බවට පත්වෙයි. එසේම මානවවාදී ධීරවීර පුද්ගලයන් හා අදූරදර්ශී අධිපතිවාදී පාලකයින් අතරේ පවත්නා නිරන්තර අරගලය ද  නිරූපණය වෙයි.",කපිල කුමාර කාලිංග
කුඹල්මැණ්ඩිය,"මේ නවකතාව රසවිදිමින් ඔබට සරල සුන්දර කුඹල් ගමකට පිවිසිය හැකිය. එහි වළං හදන දිළිඳු , සුන්දර මිනිසුන් සමූහයක් ඇසුරු කළ හැකිය. කළා හැකියාවන්ගෙන් පොහොසත් ඔවුන් දෙපයින් නැගී සිටීමට ගන්නා සාමුහික ප්‍රයත්නය විස්මයෙන් අත්විදිය හැකිය. ඔවුන් සදාකාලිකව සිය හදවත්හි යටපත් කරගෙන සිටින මහා වේදනාවන් හමුවේ කම්පා විය හැකිය. ජීවිතය දෙස නව මිනිසකු ලෙස හැරී බැලීමට සහෘදයා පොලඹවන , රස වින්දනයේ නිම්වළලු පුළුල් කරවමින් මිනිස් ගුණ සුවද දනවන කලාත්මක නිර්මාණයකි.",ණසිංහ හෙට්ටිආරච්චි
මරණයේ දොරටුව අබියස සිටි මිනිස්සු,"1939 සැප්තැම්බරයේ පෝලන්තය ආක්‍රමණය කළ ජර්මානු හමුදාවෝ යුදෙවුවන්, දේශපාලන විරුද්ධවාදීන්, හා ආරිය නොවන ජාතීන් ඝාතනය කිරීම සඳහා විවිධ පළාත්වල විධ කඳවුරු සහ ඝාතක කඳවුරු ස්ථාපනය කළහ. ඒ ඒ අතුර ප්‍රධානතම වධ කඳවුර වූයේ අවුය අවුෂ්විට්ස් කඳවුර නම් කොට තිබුණේ මරණයේ කඳවුර ලෙසිනි. එහි ප්‍රධාන පිවිසුමේ ආබයිට් මක්ට් යනුවෙන් සඳහන් විශේෂ වැකියක් විය. එහි අරුත 'වැඩ කිරීමෙන් නිදහස' යන්නයි. 1941ත් 1945ත් අතර කාලයේ අවුඡීවිට්ස් කඳවුරට පැමිණි සිරකරුවන් සංඛ්‍යාව මිලියන 1.3 ක් විය. ඉන් මිලියන 1.1  ක් ඝාතනය කෙරිණි. ඔවුන්ගෙන් සියයට අනූවක් යුදෙවුවෝ වූහ. 1945 ජනවාරි 27 දින සෝව්යට් හමුදාවම කඳවුර නිදහස් කර ගත්හ. එය නිදහස ලබා 70 වසරක් පිරුණේ  2015 දීය. එහි සිරගතව සිටි රටවල් 19කට අයත් පුද්ගලයන් 300ක පමණ පිරිසක් එදින පැවැති සැමරුමට සහභාගී වූහ. මරණය පෙනී පෙනී එහි ගෙවූ සමයේ තමන් ලද අත්දැකීම් මාධ්‍ය හා බෙදා ගන්නට මෙම පිරිස පසුබට නොවූහ. ",ප්‍රියන්ජන් සුරේෂ් ද සිල්වා
අපරාජිත,"පළමුවන හා දෙවන ලෝක සංග්‍රාමයන් අතර වූ කාලපරිච්ඡේදයේ ඇරඹෙන මෙම කතා පුවතෙහි බොහෝ සිද්ධීන් සත්‍ය ය. වත්පොහොසත්කම් හා කුල භේද පසුබිම් කොටගත් හා විස්මිත ආර්ථිකයකින් හෙබි එසමයෙහි සමාජය ග්‍රාමීය හා අසාක්ෂර විය. එහෙයින් බහුතරයක් සාක්ෂරවූ මෙසමයෙහි ද බොහෝ දෙනෙකු හට නුහුරු නුපුරුදු වචනයක් වූ ""ක්ෂතිය"" පිළිබඳව එකල උගතුන් පවා දැන නොසිටියහ. මනෝවිද්‍යාව හා මනස් චිකිත්සාව පිළිබඳව නොකිවමනාය. එහෙයින් ගැඹුරු වාග්විෂයාතික්‍රාන්ත චිත්තවේගීය කම්පනයකට පාත්‍රවන සංවේදී බාල දරුවා වටහා ගැන්මෙහි ලා අපොහොසත්වන එකී සමාජය සාම්ප්‍රදායික පිළිවෙත් අනුගමනය කරමින් එකී දරුවා දුකින් වේදනාවෙන් පෙළෙන අයුරු බලා සිටී. තැන නොතැන හෝ කාලවේලාව හෝ නොබලා නැවත නැවතත් නොනවක්වා මැ ඔහු හඹා එන එකී මානසික පීඩනය හා ප්‍රකාශ කැරැගත නොහැකි වේදනාව අසාමාන්‍ය හා කුරු ලෙස ඔහු පෙළා, අතාත්වික යැයි පෙනී යන හැසිරීම් කරා ඔහු මෙහෙයවයි. ගැඹුරු අගාධර්යය රික්තයක් වූ ඔහුගේ ජීවිතයට සැනසුම ශාන්තිය ළඟාකැර දීමට අසමත් නිදිලොව ද එම කුරිරු චණ්ඩ මාරුතයෙන් කැළඹී කැකෑර් ව්‍යාකූල වෙයි. හේතුඵල වටහාගැන්මෙහි අසමත් අහිංසක, සංවේදී දරුවා එම සියලුම අනුවේදනීය, සානුකම්පිත දුක්දොම්නස් තුළින් පියනගන අයුරු නිරූපනය කරන මෙම අසාමාන්‍ය පුවත පාඨකයා දුලබ අදහාගත නොහැකි අනභතීන් කරා කැඳවාගෙන යයි.",Ben Rasnek
මළ බැදි අමා දිය,"පණකෙන්ද රැකගැනීමට දඟලන සමුපකාරික මුඩුක්කු ජිවිතයම, එය පුරෝකතනය කරන සූත්‍රධරයා බවට පත්වෙයි. කතුවරයා විසින් මේ නවකතාව සඳහා නව හැඩතලයක් නිර්මාණය කර ගනු ලබන්නේ එකම වියමනකින් බැඳී සිටින නිර්නාමික චර්ත ගණනාවක් පාත්‍ර වර්ගයා ලෙස යොදා ගනිමිනි. නවකතාවේ අවියෝජනීයව ඉස්මතු වන සෝපාහාසය නම් උග්‍ර  මූලධර්මවාදී හින්දු බැතිමතුන් දැඩිව යාවත්කාලීන කැර ගන්නට උත්සාහ දරන ""මාධි"" නම් ශික්ෂා පදයයි. එහිදී චාරිත්‍රානුකූල අවශ්‍යතාව පවා ඊට දෙවෙනි වෙයි. මෙනයින් ""මාධි"" ව්‍රතය සමාදන් වූ අයෙකුගේ පවිත්‍රතාව බිඳීයන්නේ අපිරිසිදු කුලහීන ""ප්‍රාණකරයෙකු"" මුලිච්චි වීමෙනි. නියං සමයකදී පවා තම ආගමික මිථ්‍යාව කඩ නොකරන හින්දුන් අතරේ ජමුනා සහ ඡායා යන දෙසෝවුරියෝ තම හුදකලා ජීවිතවලට සහනයක් සොයා පිදුරු ගහක වුව එල්ලෙන්නට වෙර දරන  අයුරු මෙයින් චිත්‍රණය වෙයි. ",ගුණතිලක මැටියගනේ
"The Legends of Khasak
(ග්‍රාමාරණ්‍යයේ ආගන්තුකයා)","පල්සාට් කඳුකරයේ සැඟවී තිබෙන නාගරික දූෂණයට ලක් නොවූ සුන්දර ගම්මානයක් වන 'ඛසාකය' වෙත රවි නම් මානවකයා අබිනික්මන් කරන්නේ නාගරික ජීවන රටාව පිටුදකිමින් ආත්මයට යම් සිසිලක් ලබා දෙන්නටය.පුරාවෘත්ත, දේවකතා, ජනකතා, මිථ්‍යා විශ්වාසවලින් පෙඟුණු ධසාකයේ අහිංසක ළමා පරපුරට නව දැනුම ලබා දෙන්නට ඔහු දරන උත්සාහය ප්‍රශංසනීය යි. එහෙත් ඒ සමාජයේ දක්නට ලැඛෙන තරගකාරිත්වය, කුසගින්න, කාමය, ඉරිසියාව, නූගත්කම, නිලධාරිවාදය ආදි පොදු මනුෂ්‍ය ගුණාංග විසින් ඔහු ද ගොදුරු කරගන්නවා. ඔහු සෙවූ කෙම්බිම ඔහුගේ ම ආත්මයේ සොහොන්පිටිය බවට පත්වන තුරුත් එහෙත් ඔහුට මේ පසල් දනව්ව හැර පියා සුපුරුදු සමාජයට අවතීර්ණ වන්නට දෛවය ඉඩ දෙයිද.",O. V. Vijayan/ ගුණතිලක මැටියගනේ
ඈත අතීතයට ගිය ඇමෙරිකානුවා,"දහනවවන සියවසේ ඇමෙරිකාවේ විසූ හෑන්ක් මෝගන් නම් තරුණයා යම් කිසි අද්භූත ආකාරයකට හයවන සියවසේ එංගලන්තයේ ආතර් රජුගේ කාලයේ  ""පහළ වෙයි"". නවීන නිදහස් මතධාරී ඉතාම දක්ෂ කාර්මිකයකු වන හෙතෙම අතිශයින් සම්ප්‍රදායානුකූල ආගමික වැඩවසම් ක්‍රමයක් සහ ඒකාධිපති රජකු යටතේ පැවැති නොදියුණු ආර්ථික හා සමාජ රටාව ක්‍රමයෙන් වෙනස් කරයි. ඔහුගේ නවීන තාක්ෂණික විද්‍යාත්මක ශිල්පීය ක්‍රම හයවන සියවසේ ප්‍රබල මිථ්‍යා මතධාරීන්ට පෙනෙන්නේ ප්‍රාතිහාර්ය ලෙසිනි. අහසට පොළොව මෙන් වූ එම සියවස් දෙකේ සංකලන හා ගැටුම් රාශියක්හ ටගනී. අවසානය පාඨකයා කිසිසේත් අපේක්ෂා නොකරන්නකි. තවද ඒ යුගයේ දරුණු වැඩවසම් ක්‍රමය හා කෲර වහල් සේවය ඔහුගේ නිර්දය විවේචනයට භාජන වේ.",Mark Twain/ රාණි සේනාරත්න රාජපක්ෂ
නැතුව බැරි මිනිහෙක්,"වර්තමාන ලංකාවට නැතුව බැරි දේශපාලන මිනිසා සම්බන්ධ විකල්ප කිසිම ස්ථිර ප්‍රතිපත්තියක් නැති, කවර මොහොතක හෝ එළියට පනින්නට ඉඩ ඇති ජාතිවාදී රාක්ෂයෙකු ඇතුළේ සඟවා ගත් පිරිමියා හෝ ඒවාට යම් යම් අන්දමින් විරුද්ධ අනෙකා අප ආදරයෙන් තෝරන්නේ කවුද? වර්තමාන ලංකාවට නැතිව බැරි ආර්ථික මිනිසා සම්බන්ධ විකල්ප ඕනෑම දේශපාලන දෘෂ්ටිවාදයක් නියෝජනය කරන රාජ්‍යය සමග ඩීල් දමන ආර්ථික-පාතාලයා සහ ඔහුට යම් යම් අන්දමින් වත් විරුද්ධ අනෙකා. අප ආදරයෙන් තෝරන්නේ කවුද? වර්තමාන ලංකාවේ නැතුව බැරි තාත්තා සම්බන්ධ විකල්ප නිවැරදි යැයි තමාට පෙනෙන ෆැන්ටසිය තුළ දියණිය සිර කර ඒ සිහිනයේ යතුරද සඟවන තාත්තා සහ ඔහුට එක එක මට්ටමින් වෙනස් අනෙකා අප දෙපා වැඳ පිළිගන්නේ කවුද? ",රාජිත දිසානායක
"Only Love Is Real (ජන්මයෙන් ජන්මය)


","අප උපදින්නේ තනිව ම ය.මිය යන්නේ ද එසේමය. එහෙත් අපේ දෙමාපියන්, සොහොයුරු සොහොයුරියන්, ඥාතීන් සහ මිතුරු මිතුරියන් සසර ගමනේ දී කී වරක් හමුවන්නට වෙන්වන්නට ඇද්ද? සසර ගමන පුරා ම අපි විවිධ සම්බන්ධකම් ඇතුව ගමන් කරමු. වරෙක ඔබ පෙමිවතාය. තවත් විටෙක ඔහු පියා හෝ ඉපදී ඇත. සොහොයුරෙකු ලෙස පෙම්වතුන් පෙම්වතියන් වරෙක අඹු සැමියන් ලෙසද තවත් වරෙක මව - පුතු ලෙස ද තවත් ජන්මයක සොයුරු සොයුරියන් ලෙස ද ඉපදී සිට ඇත. එහෙත් ඔබ එය නොදනියි. දැක පුරුදු බවක් ඇති කඩවසමි තරුණයා ජන්ම ගණනාවක ඔබේ ම ආදරවන්ත ස්වාමියා ව සිට ඇත. ජාති ජාතිත් අත්වැල් අල්ලාගෙන ආ-ගිය ගමන් ඔබට එක්වර ම මතකයට නාව ද ඔහුගේ එක් ස්පර්ශයකින්ම ඒ සියල්ල සිතට දැනෙයි. කටහඬ පමණින් සිත ඔහු හඳුනා ගනියි.",Dr Brian L. Weiss / තොම්සන් ඒ වැන්දබෝනා
